EjerciciosDia.id,EjerciciosDia.userName,EjerciciosDia.idCurso,EjerciciosDia.fecha,EjerciciosDia.total
694,433831196,3,2019-07-24 00:00:00,2
548,matetest1,1,2019-07-24 00:00:00,6
600,445326692,1,2019-07-24 00:00:00,1
119,442856990,3,2019-07-24 00:00:00,5
128,454372092,3,2019-07-24 00:00:00,7
619,443359998,3,2019-07-24 00:00:00,5
672,432013899,3,2019-07-24 00:00:00,2
621,444128692,3,2019-07-24 00:00:00,2
132,436533496,3,2019-07-24 00:00:00,5
118,449234295,3,2019-07-24 00:00:00,8
130,448330592,3,2019-07-24 00:00:00,2
805,446372095,1,2019-07-24 00:00:00,1
663,439096099,3,2019-07-24 00:00:00,4
631,442645195,3,2019-07-24 00:00:00,3
615,442200999,3,2019-07-24 00:00:00,6
616,434577191,3,2019-07-24 00:00:00,5
676,432006092,3,2019-07-24 00:00:00,8
698,437002496,3,2019-07-24 00:00:00,2
675,432198794,3,2019-07-24 00:00:00,1
313,433887492,3,2019-07-24 00:00:00,6
654,442552295,3,2019-07-24 00:00:00,7
874,456534095,3,2019-07-25 00:00:00,16
642,441429299,3,2019-07-24 00:00:00,4
812,432808591,3,2019-07-24 00:00:00,1
635,432125996,3,2019-07-24 00:00:00,3
801,432033296,3,2019-07-24 00:00:00,5
661,446727693,3,2019-07-24 00:00:00,3
1044,433254393,3,2019-07-25 00:00:00,7
744,432387594,3,2019-07-24 00:00:00,2
904,432444090,1,2019-07-25 00:00:00,9
806,438944592,3,2019-07-24 00:00:00,3
873,454868790,3,2019-07-25 00:00:00,16
789,439833091,3,2019-07-24 00:00:00,4
742,449349099,1,2019-07-24 00:00:00,4
732,456175893,3,2019-07-24 00:00:00,4
737,432316593,3,2019-07-24 00:00:00,3
785,438268999,1,2019-07-24 00:00:00,2
738,436868591,3,2019-07-24 00:00:00,3
790,456959991,1,2019-07-24 00:00:00,3
800,440721392,1,2019-07-24 00:00:00,4
650,431948696,3,2019-07-24 00:00:00,5
1071,439714299,3,2019-07-25 00:00:00,7
868,433237799,3,2019-07-25 00:00:00,17
1007,432007596,1,2019-07-25 00:00:00,2
906,432488495,1,2019-07-25 00:00:00,9
1102,458105397,3,2019-07-25 00:00:00,3
1066,432920993,3,2019-07-25 00:00:00,7
1464,435404398,1,2019-07-25 00:00:00,7
1267,436555694,3,2019-07-25 00:00:00,5
872,432371494,3,2019-07-25 00:00:00,15
899,441553599,1,2019-07-25 00:00:00,8
1005,433833199,3,2019-07-25 00:00:00,8
876,434969991,3,2019-07-25 00:00:00,17
903,433025790,1,2019-07-25 00:00:00,9
895,432238295,1,2019-07-25 00:00:00,9
1038,453366794,3,2019-07-25 00:00:00,19
1178,434417195,3,2019-07-25 00:00:00,8
908,436604399,1,2019-07-25 00:00:00,9
1009,436540599,3,2019-07-25 00:00:00,7
905,454338199,1,2019-07-25 00:00:00,9
1011,433192999,3,2019-07-25 00:00:00,5
896,433613893,1,2019-07-25 00:00:00,9
1332,432354490,3,2019-07-25 00:00:00,1
869,454347899,3,2019-07-25 00:00:00,17
922,432929393,3,2019-07-25 00:00:00,9
885,432722696,3,2019-07-25 00:00:00,17
879,433761992,3,2019-07-25 00:00:00,17
1256,433170797,3,2019-07-25 00:00:00,7
875,435544196,3,2019-07-25 00:00:00,17
871,432323091,3,2019-07-25 00:00:00,16
894,433775798,1,2019-07-25 00:00:00,9
1161,433030993,3,2019-07-25 00:00:00,14
1278,446372095,1,2019-07-25 00:00:00,15
8115,432454494,3,2019-08-06 00:00:00,1
866,439871497,3,2019-07-25 00:00:00,17
1168,433028390,3,2019-07-25 00:00:00,11
1072,457950997,3,2019-07-25 00:00:00,6
1160,437422895,3,2019-07-25 00:00:00,11
1103,432477690,3,2019-07-25 00:00:00,3
1042,436707899,3,2019-07-25 00:00:00,11
1232,432805997,3,2019-07-25 00:00:00,14
1004,454369791,3,2019-07-25 00:00:00,9
1190,439222290,3,2019-07-25 00:00:00,6
1048,432775994,3,2019-07-25 00:00:00,7
1191,435134998,3,2019-07-25 00:00:00,3
1203,437916995,3,2019-07-25 00:00:00,5
1164,446386291,3,2019-07-25 00:00:00,11
1261,432930093,3,2019-07-25 00:00:00,7
1073,453263996,3,2019-07-25 00:00:00,7
1046,432451095,3,2019-07-25 00:00:00,7
1106,446511791,3,2019-07-25 00:00:00,3
1262,433024495,3,2019-07-25 00:00:00,7
1051,432314999,3,2019-07-25 00:00:00,20
1047,433252794,3,2019-07-25 00:00:00,16
1041,433813698,3,2019-07-25 00:00:00,22
1015,omejenes,3,2019-07-25 00:00:00,15
1040,458194894,3,2019-07-25 00:00:00,28
1017,432766391,3,2019-07-25 00:00:00,22
1035,445324396,3,2019-07-25 00:00:00,26
1019,436161990,3,2019-07-25 00:00:00,36
1062,457980891,3,2019-07-25 00:00:00,13
1400,443359998,3,2019-07-25 00:00:00,9
1398,433222094,3,2019-07-25 00:00:00,6
1399,432502291,3,2019-07-25 00:00:00,6
1018,432255491,3,2019-07-25 00:00:00,27
887,452342791,3,2019-07-25 00:00:00,17
1411,445733493,3,2019-07-25 00:00:00,11
1195,432330891,3,2019-07-25 00:00:00,6
58,435544196,3,2019-07-24 00:00:00,5
533,432480694,3,2019-07-24 00:00:00,2
551,fgomez,3,2019-07-24 00:00:00,2
618,432878094,3,2019-07-24 00:00:00,1
658,432881095,3,2019-07-24 00:00:00,4
699,432026895,3,2019-07-24 00:00:00,1
626,431947590,3,2019-07-24 00:00:00,1
637,432528391,3,2019-07-24 00:00:00,2
638,432222496,3,2019-07-24 00:00:00,4
624,454949499,3,2019-07-24 00:00:00,2
659,442464790,3,2019-07-24 00:00:00,1
660,441466290,3,2019-07-24 00:00:00,1
552,443721291,1,2019-07-24 00:00:00,11
747,440463390,3,2019-07-24 00:00:00,1
651,437992492,3,2019-07-24 00:00:00,2
748,457356491,3,2019-07-24 00:00:00,1
625,442610491,3,2019-07-24 00:00:00,5
601,441567995,1,2019-07-24 00:00:00,3
608,436561593,3,2019-07-24 00:00:00,3
794,456549193,3,2019-07-24 00:00:00,4
884,437150199,3,2019-07-25 00:00:00,14
620,439872997,3,2019-07-24 00:00:00,4
696,432447098,3,2019-07-24 00:00:00,1
877,441917590,3,2019-07-25 00:00:00,16
1050,443981593,3,2019-07-25 00:00:00,9
189,443756891,3,2019-07-24 00:00:00,9
745,438904892,1,2019-07-24 00:00:00,3
749,432361998,3,2019-07-24 00:00:00,3
784,447408299,1,2019-07-24 00:00:00,1
753,439989394,1,2019-07-24 00:00:00,4
883,433850597,3,2019-07-25 00:00:00,15
1165,457997795,3,2019-07-25 00:00:00,6
783,457857694,3,2019-07-24 00:00:00,6
803,432821392,1,2019-07-24 00:00:00,4
813,macan,1,2019-07-24 00:00:00,1
279,434378393,1,2019-07-24 00:00:00,10
792,456707893,3,2019-07-24 00:00:00,2
793,445322494,3,2019-07-24 00:00:00,3
762,447664990,1,2019-07-24 00:00:00,4
804,438526799,1,2019-07-24 00:00:00,3
802,435404398,1,2019-07-24 00:00:00,2
1344,432198794,3,2019-07-25 00:00:00,6
1030,441557293,3,2019-07-25 00:00:00,19
1157,455872799,3,2019-07-25 00:00:00,8
882,439828694,3,2019-07-25 00:00:00,14
1282,443721291,1,2019-07-25 00:00:00,24
888,432285790,3,2019-07-25 00:00:00,14
921,432479797,3,2019-07-25 00:00:00,9
923,433504296,3,2019-07-25 00:00:00,9
886,447127997,3,2019-07-25 00:00:00,11
924,452018298,3,2019-07-25 00:00:00,9
889,435038490,3,2019-07-25 00:00:00,20
1022,432495399,3,2019-07-25 00:00:00,20
880,436575095,3,2019-07-25 00:00:00,17
870,440438199,3,2019-07-25 00:00:00,13
881,432853296,3,2019-07-25 00:00:00,16
1025,432340293,3,2019-07-25 00:00:00,10
1074,457987894,3,2019-07-25 00:00:00,7
